ID,선수명,데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수,1차FA여부,2차FA여부,3차FA여부,5년평균타율,5년평균경기,5년평균타석,5년평균타수,5년평균득점,5년평균안타,5년평균2루타,5년평균3루타,5년평균홈런,5년평균루타,5년평균타점,5년평균희생번트,5년평균희생플라이,5년평균볼넷,5년평균고의사구,5년평균사구,5년평균삼진,5년평균병살타,5년평균장타율,5년평균출루율,5년평균OPS,5년평균멀티히트,5년평균득점권타율,5년평균대타타율,5년평균장타,5년평균땅볼,5년평균뜬공,5년평균결승타,5년평균투구수/타석,5년평균순수장타율,5년평균추정득점,5년평균GPA,5년평균경기(주루),5년평균도루시도(주루),5년평균도루허용(주루),5년평균도루실패(주루),5년평균도루성공률(주루),5년평균주루사(주루),5년평균견제사(주루),5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균포일(수비),5년평균도루허용(수비),5년평균도루실패(수비),5년평균수비율(수비),5년평균도루저지율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
73732,고지행,1997,2003,0.281,92,289,253,38,71,9,0,4,92,27,12,2,20,0,2,61,8,0.364,0.336,0.7,20,0.259,0.333,13,65,58,0,3.89,0.083,30.1,0.242,92,14,9,5,64.3,0,0,81,70,552.0,8,0,128,160,30,0,0,0,0.9751757246376812,0.0,0.868,0.0,0.0180722892,0.0180722892,0,289,0.3518145080538977,1978,5,3,26,13809.093409832203,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.281,92.0,289.0,253.0,38.0,71.0,9.0,0.0,4.0,92.0,27.0,12.0,2.0,20.0,0.0,2.0,61.0,8.0,0.364,0.336,0.7,20.0,0.259,0.333,13.0,65.0,58.0,0.0,3.89,0.083,30.099999999999998,0.24200000000000002,92.0,14.0,9.0,5.0,64.3,0.0,0.0,81.0,70.0,552.0,8.0,0.0,128.0,160.0,30.0,0.0,0.0,0.0,0.9751757246376813,0.0,0.868,0.0180722892,0.0,0.3518145080538977,2431.833910034602
73732,고지행,1997,2004,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,0,0,3.5,0.0,-0.2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,-0.044,0.0,0.00729927007,0.0253715593,0,291,0.0,1978,5,3,27,13438.886339299372,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.2790687285223368,91.38144329896907,287.02749140893474,251.27491408934708,37.738831615120276,70.51202749140893,8.938144329896907,0.0,3.972508591065292,91.36769759450172,26.814432989690722,11.917525773195877,1.986254295532646,19.86254295532646,0.0,1.986254295532646,60.580756013745706,7.945017182130584,0.3614982817869416,0.33369072164948455,0.6951890034364261,19.86254295532646,0.2572199312714777,0.3307113402061856,12.9106529209622,64.56701030927834,57.60137457044674,0.0,3.887319587628866,0.08242955326460481,29.891752577319586,0.24033676975945018,91.38144329896907,13.903780068728523,8.938144329896907,4.965635738831615,63.85807560137457,0.0,0.0,80.44329896907216,69.51890034364261,548.2061855670103,7.945017182130584,0.0,127.12027491408935,158.9003436426117,29.79381443298969,0.0,0.0,0.0,0.9684734859803776,0.0,0.8617319587628867,0.017998247831408937,0.0,0.34939653892637945,13809.093409832203
69636,오선우,2019,2019,0.151,27,57,53,5,8,1,1,1,14,4,0,0,3,0,1,24,0,0.264,0.211,0.475,2,0.143,0.143,3,11,10,0,3.72,0.113,2.8,0.161,27,0,0,0,0.0,0,0,23,11,120.66666666666669,0,0,34,3,0,0,0,0,0.9917127071823204,0.0,-0.33,0.0,0.0124888492,0.0124888492,0,57,0.2498822928331854,1996,12,13,24,3000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.151,27.0,57.0,53.0,5.0,8.0,1.0,1.0,1.0,14.0,4.0,0.0,0.0,3.0,0.0,1.0,24.0,0.0,0.264,0.211,0.475,2.0,0.143,0.143,3.0,11.0,10.0,0.0,3.72,0.113,2.8,0.161,27.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,120.66666666666669,0.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.9917127071823204,0.0,-0.33,0.012488849200000002,0.0,0.24988229283318536,2714.678111587983
98315,채종국,1998,2002,0.228,100,224,184,24,42,7,0,3,58,15,12,3,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1.0,10,56,53,0,3.47,0.087,21.0,0.221,100,2,0,2,0.0,0,0,104,74,600.6666666666666,8,0,70,154,24,0,0,0,0.9636920088790234,0.0,0.143,0.0,0.0,0.0,0,224,1.1196529401743545,1975,10,24,28,4720.618766537757,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.228,100.0,224.0,184.0,24.0,42.0,7.0,0.0,3.0,58.0,15.0,12.0,3.0,13.0,0.0,12.0,36.0,2.0,0.315,0.316,0.631,8.0,0.219,1.0,10.0,56.0,53.0,0.0,3.47,0.087,21.0,0.221,100.0,2.0,0.0,2.0,0.0,0.0,0.0,104.0,74.0,600.6666666666666,8.0,0.0,70.0,154.0,24.0,0.0,0.0,0.0,0.9636920088790234,0.0,0.143,0.0,0.0,1.1196529401743545,2517.2980489654883
98315,채종국,1998,2003,0.241,90,164,137,18,33,8,0,3,50,16,12,2,7,0,6,31,3,0.365,0.303,0.668,2,0.257,0.125,11,37,38,0,3.44,0.124,16.0,0.228,90,0,0,0,0.0,0,0,89,42,420.6666666666667,7,0,49,108,14,0,0,0,0.9581949286846276,0.0,0.103,0.0,0.0100401606,0.0100401606,0,388,0.8585810401332551,1975,10,24,29,5937.910166227847,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.23349484536082477,95.77319587628865,198.63917525773195,164.1340206185567,21.463917525773194,38.1958762886598,7.422680412371134,0.0,3.0,54.618556701030926,15.422680412371134,12.0,2.577319587628866,10.463917525773196,0.0,9.463917525773196,33.88659793814433,2.422680412371134,0.33613402061855674,0.3105051546391753,0.646639175257732,5.463917525773196,0.23506185567010313,0.6301546391752577,10.422680412371134,47.96907216494845,46.65979381443299,0.0,3.457319587628866,0.10263917525773196,18.88659793814433,0.22395876288659794,95.77319587628865,1.1546391752577319,0.0,1.1546391752577319,0.0,0.0,0.0,97.65979381443299,60.47422680412371,524.5841924398625,7.577319587628866,0.0,61.123711340206185,134.55670103092783,19.77319587628866,0.0,0.0,0.0,0.9613685007556191,0.0,0.12609278350515463,0.004243779222680413,0.0,1.009302961806467,4720.618766537757
98315,채종국,1998,2004,0.275,128,385,327,40,90,19,0,4,121,34,21,1,22,0,14,55,6,0.37,0.346,0.716,19,0.267,0.667,23,94,89,0,3.66,0.095,41.8,0.248,128,8,4,4,50.0,0,0,137,109,932.3333333333334,12,0,248,319,71,0,0,0,0.979658562745799,0.0,1.307,0.0,0.131386861,0.141427022,0,773,0.4248021843535627,1975,10,24,30,11557.44225179746,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2541668822768435,111.82406209573092,291.4579560155239,245.2509702457956,30.695989650711514,63.997412677878394,13.188874514877103,0.0,3.498059508408797,87.68046571798189,24.67529107373868,16.482535575679172,1.7917205692108666,16.209573091849936,0.0,11.723156532988357,44.402328589909445,4.204398447606727,0.3530012936610608,0.3281836998706339,0.6811849935316947,12.20569210866753,0.2509689521345408,0.6485058214747736,16.6869340232859,70.89521345407503,67.7477360931436,0.0,3.5582664941785254,0.09883441138421734,30.298835705045278,0.2359327296248383,111.82406209573092,4.564036222509703,1.9922380336351875,2.571798188874515,24.902975420439844,0.0,0.0,117.25355756791721,84.64294954721863,727.6675291073739,9.780077619663649,0.0,154.1992238033635,226.42043984476066,45.28719275549806,0.0,0.0,0.0,0.9704780400392143,0.0,0.714254851228978,0.06756860003027167,0.0,0.7181867919237139,5235.143997334599
98315,채종국,1998,2005,0.237,106,407,342,45,81,10,1,9,120,36,16,5,25,1,19,40,6,0.351,0.32,0.671,19,0.2,0.0,20,123,103,0,3.5,0.114,40.7,0.232,106,9,1,8,11.1,0,0,108,103,868.3333333333334,17,0,169,317,65,0,0,0,0.9653458733205372,0.0,0.764,0.0,0.0837004405,0.225127462,0,1180,0.9839712542642912,1975,10,24,31,11304.107129498016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.2482457627118644,109.81525423728813,331.3101694915254,278.62118644067795,35.62966101694915,69.86186440677966,12.088983050847459,0.34491525423728814,5.395762711864407,98.82796610169491,28.58135593220339,16.316101694915254,2.8983050847457625,19.241525423728813,0.34491525423728814,14.233050847457626,42.88389830508475,4.823728813559322,0.3523110169491525,0.32536101694915254,0.6776720338983051,14.549152542372882,0.23338898305084746,0.4248262711864407,17.829661016949153,88.86694915254238,79.90677966101696,0.0,3.538169491525424,0.10406525423728813,33.886355932203394,0.2345762711864407,109.81525423728813,6.09406779661017,1.65,4.444067796610169,20.142118644067796,0.0,0.0,114.06186440677966,90.97457627118644,776.1853107344633,12.270338983050847,0.0,159.3042372881356,257.6627118644068,52.0864406779661,0.0,0.0,0.0,0.9687078774506537,0.0,0.7314127118644068,0.0731327178872034,0.0,0.8098599073242351,8384.024757966166
98315,채종국,1998,2006,0.212,97,257,222,25,47,9,0,2,62,19,14,2,12,1,7,28,7,0.279,0.272,0.551,13,0.254,0.5,11,81,68,0,3.56,0.068,16.0,0.192,97,3,1,2,33.3,0,0,96,71,655.3333333333334,7,0,172,235,58,0,0,0,0.983,0.0,-0.279,0.0,0.00708215297,0.232209615,0,1437,0.0,1975,10,24,32,11024.648872134736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2417633959638135,107.52331245650662,318.02018093249825,268.4947807933194,33.7286012526096,65.77313848295059,11.536534446764092,0.28322894919972164,4.788448155880306,92.24147529575505,26.867780097425193,15.90187891440501,2.7376478775226167,17.946416144746,0.46207376478775225,12.939457202505219,40.22199025748086,5.21294363256785,0.3391997216423103,0.31581767571329156,0.6550173973556019,14.272094641614474,0.23707515657620043,0.4382707028531664,16.60821155184412,87.45998608211552,77.77731384829507,0.0,3.5420737647877525,0.0976151704940849,30.6874739039666,0.2269617258176757,107.52331245650662,5.54070981210856,1.5337508698677802,4.00695894224078,22.49533750869868,0.0,0.0,110.83159359777314,87.40222686151705,754.5715611227095,11.32776617954071,0.0,161.57480862908838,253.60960334029227,53.144050104384135,0.0,0.0,0.0,0.9712639494723531,0.0,0.550705636743215,0.061319916785100896,0.0,0.6650206615466927,9391.205711536899
98315,채종국,1998,2007,0.163,23,47,43,3,7,1,0,0,8,2,1,0,3,0,0,8,0,0.186,0.217,0.403,1,0.091,0.5,1,16,12,0,3.98,0.023,1.5,0.144,23,0,0,0,0.0,0,0,21,11,117.0,3,0,33,36,7,0,0,0,0.958,0.0,-0.273,0.0,0.0150753769,0.247284992,0,1484,0.0,1975,10,24,33,7715.540375701392,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.24127222222222222,105.70793650793651,324.6253968253968,275.1047619047619,34.31190476190476,67.80714285714286,11.95,0.32301587301587303,4.927777777777778,95.18650793650794,28.05,16.03968253968254,2.588888888888889,18.26825396825397,0.526984126984127,12.623809523809523,39.77063492063492,5.589682539682539,0.3377873015873016,0.31209920634920635,0.6498865079365079,14.892063492063492,0.23483968253968257,0.3407103174603175,17.20079365079365,90.3873015873016,79.72857142857143,0.0,3.571222222222223,0.09671904761904762,31.32095238095238,0.22492698412698414,105.70793650793651,5.963492063492064,1.7492063492063492,4.214285714285714,25.655396825396824,0.0,0.0,108.6952380952381,86.93492063492063,758.1500000000002,11.60873015873016,0.0,173.05873015873016,263.2007936507936,56.603968253968254,0.0,0.0,0.0,0.9721153058752939,0.0,0.5924611111111111,0.07049624058292855,0.0,0.5593908190821761,9683.338552367548
61463,김정혁,2011,2014,0.0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0,0.0,0.0,0,2,2,0,3.8,0.0,-0.8,0.0,2,0,0,0,0.0,0,0,2,1,12.0,0,0,1,4,1,0,0,0,1.0,0.0,-0.138,0.0,0.0,0.00354191263,0,7,0.0,1985,8,3,30,3478.86,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.8,0.0,-0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.138,0.0,0.0,0.0,2547.9667264194645
